Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
25-Apr-14,13134.5,13268.6,12968.8,13034.5,40059121,2817.93
28-Apr-14,13038.95,13116,12927.75,13081.55,29680628,1975.27
29-Apr-14,13107.55,13124.3,12897.35,12910.55,28067630,1717.78
30-Apr-14,12946.1,13100.75,12738.6,12855.85,41073880,2411.32
02-May-14,12920.35,12995.6,12818.85,12842,19439904,1347.7
05-May-14,12841.4,12981.6,12773.05,12880.65,32996950,1875.15
06-May-14,12961.5,13012.55,12917.15,12966.05,24624097,1315.47
07-May-14,12944.9,13017,12877.75,12938.2,25758927,1991.59
08-May-14,12982.75,13095.5,12952.5,13037.4,23548844,1717.1
09-May-14,13023.4,13814.25,13017.9,13750.5,50618692,3634.09
12-May-14,13801,14152.45,13801,14085.05,44359640,3218.24
13-May-14,14269.25,14367.75,14105.65,14165.55,62513365,4300.87
14-May-14,14124.55,14320.75,14063.6,14207.1,55148350,3619.28
15-May-14,14186.1,14301.3,14159.1,14236.55,55346268,3369.08
16-May-14,14675.6,15742.05,14468.1,14853,103892859,8187.39
19-May-14,15032,15305.65,15032,15222.15,57768093,4471.61
20-May-14,15351.65,15362.55,15087.7,15111.2,46750328,2988.83
21-May-14,15126.6,15126.6,14857.5,14952.1,36914763,2547.13
22-May-14,15009.9,15204.45,14938.25,15055.55,37475269,2396.99
23-May-14,15091.7,15321.25,14972.6,15285.5,53883369,4956.42
26-May-14,15431.95,15568.05,14969.25,15175.9,52767590,4333.78
27-May-14,15141.5,15158.4,14934.95,15084,30637314,2242.04
28-May-14,15075.6,15198.35,15032.45,15173.35,26975575,2296.6
29-May-14,15169.25,15254.5,15007.5,15030.3,44813466,3879.53
30-May-14,15093.1,15108.8,14709.3,14793.4,43255344,3338.94
02-Jun-14,14786.45,15321.8,14770,15287.25,33470475,2493.04
03-Jun-14,15335.85,15414.05,15148.5,15257.5,36314744,2945.73
04-Jun-14,15221.3,15396.9,15171.15,15333.4,32577215,2180.57
05-Jun-14,15250.6,15337.15,15152.4,15282.15,34685137,2572.96
06-Jun-14,15405.75,15576.05,15320.75,15543.15,39719688,2868.05
09-Jun-14,15625.4,15725.8,15522.85,15567.4,41916584,2849.94
10-Jun-14,15585.4,15585.4,15337.85,15427.8,30467964,2067.35
11-Jun-14,15436.05,15660.05,15367.6,15450.55,40211297,2697.48
12-Jun-14,15456.25,15518.75,15293.4,15464.85,26800324,2004.99
13-Jun-14,15506.75,15599.75,15083.9,15106.9,33036708,2463.14
16-Jun-14,15055.2,15091.3,14858.9,15030,32728056,2179.09
17-Jun-14,14982.35,15393.75,14933.25,15373.2,36260412,2535.96
18-Jun-14,15369.5,15461.55,15128.45,15220.4,36076242,2643.63
19-Jun-14,15282.05,15332.75,14976.15,15067.4,26241549,2065.96
20-Jun-14,15064.45,15195.55,14978.5,14997.65,21875260,1767.12
23-Jun-14,15014.2,15148,14940.35,15076.35,25013855,1866.97
24-Jun-14,15142.35,15341.95,15142.35,15309.5,29137817,2051.34
25-Jun-14,15320.95,15320.95,15221.15,15237.85,23370497,1770.43
26-Jun-14,15247.1,15333.25,15020.65,15050,37291657,2560.05
27-Jun-14,15092.25,15117.15,14946.85,14992.35,20185412,1549.65
30-Jun-14,15059.1,15329.95,15059.1,15241.9,29758891,1994.58
01-Jul-14,15288.8,15365.65,15261.15,15321.35,24831205,1804.17
02-Jul-14,15464.55,15519.3,15414.85,15490.35,23653021,1828.25
03-Jul-14,15512.75,15554.7,15431.5,15451.65,22303318,1728.32
04-Jul-14,15458.75,15582.65,15305,15556.15,20780659,1590.5
07-Jul-14,15589.5,15592.8,15349.2,15367.6,33216870,2719.59
08-Jul-14,15437.4,15437.4,14889.35,14997.5,26417330,1945.1
09-Jul-14,15008.25,15093.45,14827.1,14931.1,30659706,2176.79
10-Jul-14,14940,15371.05,14621.95,14821.7,48099687,3586.14
11-Jul-14,14796.9,14918.85,14406.65,14447.2,33016401,2377.09
14-Jul-14,14508.1,14561.75,14338.65,14489.75,28201476,1918.46
15-Jul-14,14601.85,14919.55,14601.85,14891.9,32855355,2219.22
16-Jul-14,15033.95,15299.8,15006.45,15265.45,39301894,2835.13
17-Jul-14,15258.95,15301.95,15156,15269.05,26113242,1915.1
18-Jul-14,15169,15463.15,15089.3,15389.35,30493093,2309.91
21-Jul-14,15510,15554.9,15355.35,15385.95,26138730,1936.22
22-Jul-14,15440.35,15473.35,15306.35,15427.35,21711499,1588.65
23-Jul-14,15513.45,15626.9,15398.7,15463,31130839,2564.92
